,Property Type,Transaction Type,City,District,Price (Million VND),Area (m2),Direction,Rooms,Toilets,Legal Papers,ID
0,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2650.0,69.0,Null,2.0,2.0,Đã có sổ,1
1,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3970.0,74.1,Null,2.0,2.0,Đang chờ sổ,2
3,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2870.0,65.0,Null,2.0,2.0,Chưa có giấy tờ,4
4,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3000.0,70.0,Đông Bắc,2.0,2.0,Đã có sổ,5
5,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3200.0,70.0,Null,2.0,1.0,Đang chờ sổ,6
6,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3800.0,56.6,Null,2.0,2.0,Chưa có giấy tờ,7
7,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,1570.0,20.0,Đông Bắc,1.0,1.0,Đã có sổ,8
8,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3500.0,89.0,Null,2.0,2.0,Chưa có giấy tờ,9
9,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1500.0,55.0,Nam,2.0,2.0,Chưa có giấy tờ,10
10,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1750.0,65.0,Null,2.0,2.0,Đã có sổ,11
11,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1620.0,66.0,Tây Bắc,2.0,1.0,Đã có sổ,12
12,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1640.0,50.0,Bắc,2.0,1.0,Đã có sổ,13
13,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,1500.0,60.0,Nam,2.0,1.0,Đang chờ sổ,14
14,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1920.0,70.0,Null,2.0,2.0,Đang chờ sổ,15
15,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2586.0,68.0,Null,2.0,2.0,Chưa có giấy tờ,16
16,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3950.0,77.0,Null,2.0,2.0,Đã có sổ,17
17,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4700.0,104.5,Null,3.0,2.0,Đang chờ sổ,18
18,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2360.0,57.0,Null,2.0,1.0,Đang chờ sổ,19
